X,Pitch,Smooth
231,213.52,1.675839498
232,211.581,1.66970424
233,209.626,1.659462554
234,209.645,1.659551375
235,209.654,1.659585914
236,215.486,1.682083926
237,217.465,1.688402586
238,215.503,1.682185242
239,219.406,1.703188298
240,217.45,1.692582094
241,217.45,1.692582094
242,215.511,1.682214885
243,215.5,1.682151992
244,215.515,1.682227547
245,217.448,1.692606607
246,217.47,1.692692125
247,217.458,1.696956197
248,219.4,1.70318259
249,219.428,1.703281347
250,219.434,1.698965729
251,219.411,1.698865754
252,219.412,1.698880069
253,217.47,1.692672268
254,219.398,1.698802088
255,219.404,1.698827876
256,219.435,1.698962235
257,217.486,1.692754122
258,221.367,1.709491423
259,219.434,1.703314103
260,219.437,1.703334989
261,217.465,1.692685024
262,217.458,1.69264949
263,217.449,1.692607586
264,217.444,1.692580631
265,213.557,1.676029364
266,213.563,1.676039797
267,213.526,1.675862768
268,213.535,1.67590837
269,213.539,1.67592745
270,213.54,1.675904942
271,213.559,1.676003596
272,213.527,1.675857376
273,213.534,1.675892368
274,213.543,1.675931553
275,213.533,1.675897761
276,213.544,1.675930439
277,215.494,1.682107089
278,215.491,1.682088957
279,211.615,1.66575745
280,215.504,1.682147379
281,217.466,1.688375244
282,217.484,1.688464911
283,217.452,1.688339643
284,217.447,1.688304206
285,215.507,1.682156875
286,217.462,1.688369119
287,217.436,1.68824978
288,215.498,1.682106796
289,213.574,1.671922732
290,217.444,1.68829471
291,217.461,1.688387744
292,215.476,1.682026366
293,215.486,1.682068813
294,217.45,1.688302809
295,217.475,1.688432062
296,217.455,1.688351319
297,217.454,1.692594834
298,215.508,1.682203229
299,215.506,1.682194738
300,223.343,1.715854421
301,227.258,1.732965009
302,229.199,1.739232382
303,225.307,1.722170226
304,225.322,1.722232194
305,225.297,1.722154376
306,223.329,1.715825609
307,221.396,1.709609387
308,223.335,1.715837957
309,223.302,1.71567025
310,219.449,1.699011282
311,219.448,1.699010324
312,221.371,1.709476957
313,223.301,1.715671632
314,221.377,1.7095212
315,223.329,1.715777429
316,223.323,1.715774258
317,223.335,1.715780601
318,223.334,1.71576822
319,225.29,1.722081019
320,227.268,1.733020904
321,225.296,1.722111822
322,172.421,1.552629639
323,221.393,1.705199016
324,219.44,1.698984841
325,219.432,1.698932643
326,219.444,1.698981997
327,221.362,1.705071077
328,221.368,1.705099171
329,221.348,1.704999538
330,219.426,1.698886819
331,221.361,1.705056663
332,221.362,1.705057602
333,219.416,1.698837161
334,219.405,1.698835513
335,217.473,1.692681824
336,217.438,1.692519611
337,217.454,1.692583804
338,217.461,1.688372491
339,217.482,1.688452042
340,217.451,1.688308153
341,219.404,1.698787813
342,172.424,1.552648111
343,168.507,1.540102118
344,168.485,1.543438644
345,168.501,1.540096736
346,170.444,1.549723597
347,219.401,1.698776033
348,219.409,1.698812641
349,170.469,1.546376751
350,170.459,1.546353456
351,168.511,1.536758382
352,168.509,1.54011026
353,168.477,1.539981731
354,168.482,1.539999487
355,166.551,1.530508431
356,166.545,1.530479182
357,164.618,1.52113929
358,164.62,1.521135723
359,164.627,1.521164482
360,166.548,1.530505635
361,166.546,1.530499264
362,166.555,1.530517793
363,166.572,1.530587152
364,215.493,1.682086652
365,215.527,1.678073443
366,215.535,1.678102879
367,215.521,1.678031101
368,215.528,1.67805739
369,215.516,1.678019638
370,215.528,1.678080856
371,217.456,1.68830655
372,217.459,1.688313867
373,215.52,1.678023689
374,215.486,1.677891134
375,164.628,1.5211495
376,166.531,1.527111933
377,211.578,1.665597071
378,162.668,1.508631553
379,162.641,1.508516918
380,162.646,1.508540501
381,162.655,1.508575002
382,162.629,1.508457142
383,160.688,1.502401201
384,162.62,1.508414698
385,164.569,1.514512871
386,164.6,1.511521668
387,164.594,1.511495074
388,166.531,1.520650176
389,164.602,1.514682017
390,162.669,1.508648993
391,207.663,1.653248105
392,205.747,1.643343371
393,166.55,1.523962928
394,207.655,1.653229104
395,168.505,1.530091639
396,207.67,1.653274236
397,207.689,1.653364834
398,211.577,1.665583455
399,211.58,1.665603362
400,207.676,1.649352761
401,205.696,1.643099443
402,205.713,1.643202867
403,207.654,1.653228014
404,207.663,1.653285096
405,207.67,1.653329726
406,205.728,1.647183546
407,205.715,1.64714265
408,203.798,1.637241138
409,207.671,1.653291767
410,162.638,1.508496409
411,207.7,1.65342205
412,166.576,1.524059561
413,168.497,1.536681308
414,168.527,1.536809347
415,211.594,1.678172856
416,170.46,1.549819533
417,170.458,1.546332739
418,211.612,1.678271851
419,211.582,1.678160477
420,211.584,1.678116897
421,211.612,1.678241416
422,166.547,1.527187607
423,164.589,1.520989757
424,164.608,1.517882762
425,164.599,1.5178463
426,207.677,1.653331194
427,205.73,1.643292225
428,203.772,1.637143902
429,203.776,1.637152425
430,203.772,1.637137926
431,203.759,1.637095286
432,205.704,1.647095832
433,205.721,1.647175777
434,207.673,1.657359458
435,207.683,1.657422326
436,207.676,1.657375197
437,207.663,1.65731324
438,205.716,1.647149868
439,205.728,1.647197798
440,205.725,1.647184288
441,205.681,1.647009233
442,205.716,1.647137653
443,205.729,1.64721316
444,205.714,1.647165971
445,205.712,1.647153571
446,205.715,1.647156901
447,205.714,1.647174115
