Cycle,Time,Notes
315,3318.086542,
316,3319.907542,
317,3321.546667,
318,3323.260563,
319,3324.973333,
320,3326.653333,
321,3328.36,
322,3330.04075,
323,3331.686667,
324,3333.308833,
325,3334.853333,
326,3336.4,
327,3337.904938,
328,3339.433667,
329,3340.98375,
330,3342.493333,
331,3344.054208,
332,3345.657583,
333,3347.238021,
334,3348.746667,
335,3350.24,
336,3351.726104,
337,3353.160854,
338,3354.664125,
339,3356.221729,
340,3357.779563,
341,3359.321271,
342,3360.873229,
343,3362.38425,
344,3363.946021,
345,3365.434417,
346,3366.906771,
347,3368.364479,
348,3369.876979,
349,3371.396021,
350,3372.915125,
351,3377.001417,
