X,LEar_x,LEar_y,LElbow_x,LElbow_y,LEye_x,LEye_y,LShoulder_x,LShoulder_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,Neck_x,Neck_y,Nose_x,Nose_y,REar_x,REar_y,RElbow_x,RElbow_y,REye_x,REye_y,RShoulder_x,RShoulder_y,RWrist_x,RWrist_y
29,NA,NA,323.811,457.001,282.62,268.932,310.056,353.208,317.881,523.552,237.546,525.568,241.509,351.26,274.871,286.464,223.763,278.683,151.365,454.986,259.025,272.784,170.916,349.257,147.381,505.92
30,NA,NA,323.802,456.984,282.624,268.936,310.052,353.201,317.873,521.639,237.539,525.577,241.513,351.253,274.871,286.465,223.771,278.685,151.372,454.992,259.023,272.788,170.915,349.252,145.503,505.925
31,NA,NA,323.829,456.995,282.624,268.93,310.052,353.2,317.878,523.58,235.621,527.511,241.515,351.256,274.871,286.465,223.764,278.678,151.392,453.086,259.025,272.789,170.917,349.26,145.479,505.924
32,NA,NA,325.698,456.995,282.626,268.927,310.053,353.196,317.855,523.569,237.521,527.5,241.515,351.253,274.871,286.465,223.758,278.673,151.388,455.007,259.025,272.79,170.92,349.261,145.493,505.937
33,NA,NA,325.7,456.995,282.621,270.777,310.05,353.204,315.904,480.509,235.573,527.52,241.518,351.255,274.874,286.466,221.91,278.696,151.393,455.001,259.026,272.791,170.926,349.255,147.412,505.947
34,NA,NA,325.712,456.997,282.622,270.781,310.054,353.201,315.914,523.591,235.589,527.532,241.521,351.251,274.874,286.465,223.758,278.696,151.4,454.994,259.024,272.787,170.927,349.249,147.373,504.005
35,NA,NA,325.72,456.999,282.621,268.935,310.054,353.199,317.852,523.564,235.603,529.452,241.52,351.25,274.879,286.46,223.761,278.695,151.392,455.026,259.028,272.788,170.922,349.249,145.465,504.001
36,NA,NA,325.719,458.892,282.622,268.934,310.054,353.197,317.853,523.56,235.592,529.445,241.516,351.249,274.882,286.46,223.77,278.699,151.379,456.941,259.032,272.789,170.919,349.248,145.493,505.911
37,NA,NA,325.727,458.896,282.64,268.926,310.054,353.202,315.94,523.556,235.574,529.449,241.518,351.245,274.89,286.461,223.761,278.684,151.389,455,259.035,272.785,170.928,349.233,145.482,503.994
38,NA,NA,325.736,458.903,282.646,268.918,310.053,353.197,317.857,521.636,235.562,527.535,241.52,351.245,274.892,286.46,223.762,278.693,151.399,453.052,259.037,272.781,170.936,349.234,145.472,502.061
39,NA,NA,325.706,457.005,282.647,268.934,310.044,353.196,317.863,484.432,233.656,529.461,241.512,351.247,274.895,286.472,223.762,278.7,151.398,453.069,259.043,272.79,170.924,349.236,145.452,502.065
40,NA,NA,325.714,458.893,282.649,268.932,310.044,353.197,317.86,484.424,233.653,527.534,241.511,351.248,276.703,286.47,223.78,278.721,151.387,453.078,259.046,272.793,170.923,349.237,145.498,504.006
41,NA,NA,325.706,457.003,282.64,270.776,310.047,353.195,315.929,482.474,233.654,529.453,241.516,351.244,276.698,286.472,223.778,278.71,151.392,453.069,259.045,272.796,170.933,349.235,145.465,503.996
42,NA,NA,325.713,457.004,282.638,270.78,310.046,353.196,315.93,482.463,233.662,529.455,241.516,351.246,274.889,286.471,223.777,278.722,151.401,453.039,259.04,272.793,170.931,349.24,145.425,503.976
43,NA,NA,325.709,458.898,282.632,270.787,310.053,353.196,315.916,482.471,235.585,527.528,241.515,351.249,274.884,286.474,223.773,278.702,151.389,454.992,259.04,272.794,170.931,349.246,145.483,504.017
44,NA,NA,325.714,458.894,282.628,270.784,310.049,353.195,315.925,482.474,235.597,527.518,241.515,351.252,274.886,286.474,223.768,278.704,151.387,455.021,259.039,272.796,170.931,349.255,145.497,505.909
45,NA,NA,325.708,458.9,282.624,270.79,310.052,353.189,317.85,482.461,235.604,527.518,241.513,351.249,274.884,286.475,223.776,278.699,151.385,455.029,259.042,272.801,170.93,349.255,147.373,505.913
46,NA,NA,325.708,458.918,282.622,270.794,310.055,353.189,317.86,480.525,235.582,527.508,241.513,351.252,274.88,286.481,223.776,278.703,151.39,455.034,259.04,272.807,170.927,349.256,147.386,505.922
47,NA,NA,325.703,458.922,282.616,270.799,310.062,353.193,317.866,482.461,235.575,527.501,241.518,351.251,274.877,286.479,223.776,278.693,151.395,455.023,259.038,272.806,170.93,349.253,147.389,505.915
48,NA,NA,325.711,458.931,282.609,270.803,310.065,353.192,317.873,482.474,235.581,527.507,241.52,351.252,274.875,286.481,223.776,278.696,151.398,455.013,259.037,272.807,170.934,349.253,147.394,504.022
49,NA,NA,325.722,458.933,282.605,270.799,310.057,353.194,317.887,482.467,235.595,527.523,241.511,351.258,274.863,286.471,223.773,278.708,151.395,455.025,259.022,272.805,170.923,349.259,147.409,504.021
50,NA,NA,325.708,458.936,282.603,270.803,310.055,353.192,317.891,523.555,235.561,527.53,241.508,351.255,274.863,286.482,223.786,278.731,151.394,454.99,257.234,272.822,170.914,349.257,147.389,503.994
51,NA,NA,325.701,458.927,282.592,270.801,310.053,353.193,317.885,521.639,235.573,527.501,241.507,351.255,274.855,286.481,223.795,278.726,151.386,455.002,257.231,272.821,170.916,349.253,147.423,503.996
52,NA,NA,325.709,458.925,282.59,270.789,310.048,353.196,317.883,521.63,235.585,527.501,241.506,351.252,274.843,286.473,223.787,278.714,151.381,455.011,257.224,272.818,169.033,349.25,147.435,504.02
53,NA,NA,325.703,458.905,282.584,270.782,310.048,353.19,317.861,523.561,235.584,527.489,241.511,351.243,274.84,286.469,223.786,278.682,151.377,455.005,257.224,272.81,170.914,349.24,147.477,505.94
54,NA,NA,325.703,458.897,282.577,268.932,310.046,353.187,317.863,523.559,235.601,527.506,241.516,351.239,274.843,286.467,223.789,278.683,151.371,455.011,257.225,272.807,170.93,349.234,149.377,505.955
55,NA,NA,325.709,458.893,282.587,268.925,310.043,353.188,317.849,482.451,235.589,527.541,241.513,351.243,274.855,286.462,223.783,278.687,151.358,455.031,257.232,272.798,170.93,349.239,149.392,505.95
56,NA,NA,325.703,458.895,282.584,268.925,310.042,353.184,317.87,523.553,235.586,527.532,241.513,351.243,274.857,286.465,223.785,278.689,151.369,455.017,259.018,272.8,170.931,349.243,147.481,505.913
57,NA,NA,325.698,458.911,282.596,268.936,310.041,353.188,317.859,523.597,233.652,529.477,241.517,351.244,274.865,286.465,223.782,278.687,151.367,455.016,259.024,272.795,170.936,349.245,149.342,505.945
58,NA,NA,325.696,458.935,282.602,268.919,310.041,353.192,315.921,523.604,233.627,531.436,241.518,351.246,274.875,284.606,223.787,278.698,151.358,455.003,259.029,272.781,170.946,349.242,147.477,505.974
59,NA,NA,325.697,458.952,282.62,268.924,310.042,353.199,315.927,525.551,233.665,535.348,241.514,351.263,274.88,286.461,223.794,278.675,151.348,456.939,259.034,272.791,170.932,351.077,147.428,507.865
60,NA,NA,323.827,458.952,282.637,268.917,310.048,353.206,315.932,525.545,233.67,535.356,241.517,351.261,274.886,286.46,223.801,278.685,151.361,455.04,259.032,272.785,170.932,351.075,147.374,505.954
61,NA,NA,323.827,458.945,282.635,268.921,310.041,353.198,315.938,523.614,235.593,533.371,241.515,351.253,274.883,286.459,223.794,278.691,151.353,456.947,259.032,272.788,170.932,349.259,147.466,505.964
62,NA,NA,323.814,458.955,282.611,268.915,310.042,353.2,315.915,523.606,235.585,529.488,241.518,351.253,274.882,286.458,223.792,278.694,151.353,456.971,259.03,272.796,170.935,349.26,151.38,507.927
63,NA,NA,323.824,458.942,282.61,268.911,310.036,353.192,315.922,523.588,235.595,529.474,241.516,351.244,274.88,286.46,223.789,278.691,151.353,456.974,259.024,272.799,170.942,349.248,153.293,507.951
64,NA,NA,323.819,458.948,282.609,268.909,310.039,353.196,315.903,523.591,233.668,531.411,241.519,351.246,274.878,286.46,223.789,278.71,151.354,456.938,259.02,272.802,170.936,349.25,151.379,507.92
65,NA,NA,325.692,458.955,282.616,268.913,310.035,353.197,315.92,523.589,233.656,527.533,241.519,351.243,274.877,286.467,223.785,278.698,151.359,455.02,259.018,272.806,170.934,349.245,153.3,507.939
66,NA,NA,325.699,458.944,282.624,268.909,310.041,353.191,315.922,523.591,233.625,527.51,241.519,351.235,274.881,286.456,223.784,278.698,151.359,455.018,259.023,272.795,170.932,349.235,153.343,507.944
67,NA,NA,325.698,458.944,282.616,268.925,310.049,353.197,315.921,523.59,233.633,527.513,241.517,351.242,274.859,286.455,223.778,278.692,151.358,455.033,257.222,272.787,170.928,349.238,153.316,507.959
68,NA,NA,325.694,458.959,282.616,268.929,310.053,353.204,315.925,523.583,233.638,527.499,241.516,351.247,274.859,286.458,223.778,278.688,151.348,456.947,257.224,272.791,170.925,349.24,155.268,509.852
69,NA,NA,325.707,458.953,282.615,268.933,310.053,353.205,317.852,523.581,233.663,527.518,241.514,351.254,274.854,286.464,223.767,278.677,151.338,456.98,257.223,272.802,170.929,349.251,155.284,509.849
70,NA,NA,325.708,458.95,282.611,268.936,310.054,353.212,317.862,523.598,233.664,527.534,241.516,351.256,274.848,286.465,223.771,278.677,151.335,458.883,257.22,272.809,170.93,349.243,159.177,509.911
71,NA,NA,325.707,460.839,282.601,270.779,310.048,353.214,317.872,523.592,235.601,527.49,241.513,351.259,274.85,286.467,223.774,278.679,151.341,458.89,257.222,272.811,170.923,349.243,157.244,509.883
72,NA,NA,325.706,460.844,282.608,270.778,310.043,353.216,317.853,523.593,235.603,525.564,241.512,351.261,274.852,286.467,223.777,278.677,151.349,458.888,257.225,272.812,170.929,349.244,157.241,509.877
73,NA,NA,325.705,460.847,282.612,270.785,310.047,353.214,317.864,523.589,235.617,527.502,241.512,351.261,274.849,286.47,223.776,278.669,151.349,458.887,257.225,272.812,170.927,349.247,155.259,509.857
74,NA,NA,325.699,460.837,282.616,270.789,310.043,353.21,317.859,523.591,235.624,527.528,241.513,351.259,274.848,286.471,223.774,278.668,151.35,458.89,257.224,272.812,170.929,349.247,151.395,507.927
75,NA,NA,325.703,458.954,282.649,270.802,310.067,353.187,312.008,523.588,233.663,529.466,241.513,351.245,274.857,286.476,223.776,278.685,151.39,451.114,257.236,272.796,170.927,349.257,147.388,504
76,NA,NA,323.825,458.935,282.646,270.806,310.062,353.184,311.993,523.575,235.564,527.532,241.517,351.243,274.857,286.473,223.77,278.667,151.393,451.134,259.021,272.792,170.932,349.25,147.406,504.016
77,NA,NA,323.811,458.954,282.646,270.802,310.058,353.186,311.987,523.582,233.653,527.537,241.514,351.244,274.861,286.472,223.765,278.663,151.382,453.046,259.022,272.793,170.929,349.25,147.442,505.921
78,NA,NA,323.813,458.958,282.631,270.815,310.056,353.186,310.062,523.577,233.657,529.461,241.515,351.235,274.858,286.485,223.776,276.808,151.385,451.118,259.024,272.809,170.931,349.233,147.383,505.917
79,NA,NA,323.819,458.96,282.634,270.807,310.047,353.189,310.056,523.563,233.658,527.534,241.513,351.24,274.857,286.485,223.775,276.805,151.379,451.118,259.022,272.808,170.933,349.237,147.383,505.927
80,NA,NA,325.693,460.845,282.632,270.815,310.05,353.197,310.064,523.576,233.668,527.516,241.516,351.248,274.856,286.489,223.773,276.81,151.379,451.13,259.02,272.811,170.94,349.245,147.396,505.947
81,NA,NA,325.69,460.846,282.628,270.808,310.061,353.201,310.062,523.573,235.563,527.535,241.517,351.253,274.86,286.489,223.763,276.817,151.39,451.129,259.02,272.811,170.937,349.253,147.377,505.954
82,NA,NA,325.693,460.852,282.632,270.806,310.054,353.202,310.048,523.586,233.636,529.482,241.516,351.25,274.858,286.492,223.765,276.814,151.395,451.107,259.019,272.808,170.941,349.247,145.484,505.923
83,NA,NA,325.684,458.963,282.639,270.808,310.057,353.206,310.051,523.588,231.712,531.416,241.513,351.252,274.858,286.498,223.771,276.813,151.394,451.111,259.021,272.809,170.934,349.245,145.465,505.912
84,NA,NA,325.694,460.843,282.637,270.814,310.068,353.216,310.066,523.608,231.72,531.446,241.517,351.263,274.859,286.5,223.765,276.814,151.389,453.029,259.021,272.811,170.932,349.258,147.358,505.932
85,NA,NA,325.703,460.851,282.635,270.818,310.069,353.212,312.003,525.536,233.65,531.431,241.517,351.265,274.856,286.51,223.766,276.806,151.403,453.054,259.02,272.819,170.935,351.074,145.491,505.923
86,NA,NA,325.701,460.849,282.64,270.811,310.064,353.211,312.002,523.607,233.661,531.415,241.515,351.264,274.865,286.508,223.773,276.815,151.402,453.046,259.029,272.815,170.933,349.258,145.483,505.919
87,NA,NA,325.697,460.848,282.648,270.805,310.061,353.212,313.948,523.604,233.663,531.422,241.514,351.264,274.872,286.51,223.773,278.68,151.403,453.039,259.032,272.815,170.931,349.257,145.473,505.914
88,NA,NA,325.692,460.841,282.644,270.8,310.055,353.211,313.951,523.596,233.668,531.414,241.514,351.26,274.876,286.506,223.772,278.665,151.403,453.028,259.033,272.809,170.934,349.255,145.476,505.914
89,NA,NA,325.7,460.864,282.648,270.802,310.059,353.219,313.955,523.617,233.635,533.37,241.513,353.059,274.879,286.509,223.766,276.817,151.391,453.041,259.034,272.809,170.933,349.262,145.499,505.936
90,NA,NA,325.711,460.882,282.64,270.795,310.057,353.219,313.968,523.608,233.633,533.388,241.509,353.061,274.881,286.509,223.766,276.805,151.388,453.06,259.035,272.806,170.934,351.08,145.493,505.941
91,NA,NA,325.704,460.871,282.635,270.793,310.054,353.22,313.978,523.598,231.715,533.365,241.502,353.065,274.88,286.512,223.761,276.802,151.377,453.083,259.033,272.81,170.927,351.084,147.361,505.97
92,NA,NA,325.694,460.864,282.623,270.805,310.052,353.213,315.902,523.594,233.632,531.445,241.504,353.062,274.877,286.517,223.767,276.815,151.367,454.988,259.033,272.819,170.925,351.082,147.363,505.969
93,NA,NA,325.689,460.871,282.627,270.801,310.052,353.215,313.98,523.6,233.623,533.384,241.504,353.062,274.884,286.514,223.76,278.674,151.369,454.991,259.034,272.817,170.922,351.081,147.367,505.955
94,NA,NA,325.684,460.862,282.637,270.81,310.053,353.217,313.959,523.596,233.636,535.327,241.505,353.063,274.886,286.518,221.913,278.668,151.376,453.086,259.039,272.819,170.931,351.082,145.481,505.95
95,NA,NA,323.809,460.862,282.641,270.803,310.048,353.215,312.018,523.589,233.638,535.345,241.505,353.062,274.888,286.517,223.757,278.664,151.368,454.99,259.038,272.818,170.93,351.082,145.494,505.957
96,NA,NA,323.803,460.862,282.649,270.789,310.046,353.214,313.953,523.591,233.662,535.357,241.505,353.062,276.698,286.508,223.762,278.673,151.37,455.002,259.042,272.806,170.928,351.08,145.493,505.956
97,NA,NA,323.802,460.858,282.645,270.782,310.042,353.216,313.948,523.579,233.649,535.354,241.497,353.067,276.702,286.499,223.765,278.678,151.367,454.993,259.038,272.796,170.918,351.082,145.483,505.95
98,NA,NA,323.801,460.856,282.643,268.934,310.041,353.216,311.989,523.615,233.626,537.294,241.502,353.065,276.705,286.493,223.781,278.687,151.368,454.995,259.038,272.786,170.923,351.079,145.5,505.967
99,NA,NA,323.802,460.851,282.64,268.917,310.039,353.211,311.988,525.54,233.619,537.302,241.502,353.062,276.703,286.474,223.775,278.67,151.37,454.985,259.041,272.769,170.926,351.078,145.457,505.945
100,NA,NA,323.796,460.836,282.642,268.922,310.037,353.213,313.965,523.577,233.633,535.317,241.498,353.06,276.706,286.477,223.766,278.665,151.373,453.054,259.04,272.772,170.931,351.075,145.497,504.012
101,NA,NA,323.792,458.953,282.642,268.932,310.045,353.211,313.952,521.628,233.654,529.487,241.506,351.264,276.71,286.48,223.77,278.673,151.39,451.124,259.044,272.781,170.942,349.261,145.501,502.06
102,NA,NA,323.797,460.836,282.641,268.934,310.048,353.213,313.974,523.578,233.618,533.363,241.506,351.263,276.715,286.476,223.77,278.671,151.401,451.119,259.046,272.777,170.939,349.255,145.456,502.049
103,NA,NA,323.775,458.963,284.546,270.788,310.05,353.217,313.949,523.575,233.632,529.47,241.509,351.265,276.711,286.488,223.771,278.667,151.397,451.126,259.052,272.786,170.94,349.256,145.474,503.971
104,NA,NA,323.774,458.951,282.649,270.794,310.05,353.216,312.01,523.565,233.618,535.32,241.505,351.265,274.879,286.47,223.773,278.678,151.408,451.092,259.035,272.791,170.934,349.252,145.433,502.038
105,NA,NA,323.781,458.961,282.645,270.787,310.052,353.21,NA,NA,233.628,531.431,241.507,351.266,274.879,286.48,223.788,278.702,151.39,451.135,259.027,272.806,170.933,349.258,145.497,503.989
106,NA,NA,323.775,458.957,282.633,270.794,310.051,353.21,310.064,521.638,231.716,533.376,241.512,351.261,274.868,286.479,223.786,278.684,151.389,451.098,259.026,272.804,170.945,349.255,145.478,503.972
107,NA,NA,323.775,458.956,282.64,270.795,310.048,353.209,311.987,523.581,233.612,531.442,241.509,351.26,274.872,286.49,223.795,278.706,151.39,451.087,259.025,272.811,170.941,349.257,145.482,503.97
108,NA,NA,323.768,458.943,282.64,270.792,310.04,353.21,311.992,523.569,231.707,529.462,241.507,351.261,274.869,286.484,223.789,278.683,151.391,451.089,259.025,272.804,170.938,349.257,145.493,503.97
109,NA,NA,323.763,458.924,282.642,270.791,310.044,353.208,311.986,521.638,231.721,529.466,241.512,351.256,274.868,286.483,223.787,278.691,151.4,449.186,259.025,272.807,170.94,349.252,145.422,502.008
110,NA,NA,323.766,458.929,282.646,270.781,310.048,353.215,312.005,523.572,233.613,529.485,241.513,351.26,274.872,286.481,223.786,278.697,151.4,449.182,259.022,272.804,170.949,349.251,143.533,500.107
111,NA,NA,323.776,458.931,282.65,270.789,310.05,353.223,312.017,523.583,233.642,529.492,241.514,351.268,274.878,286.486,223.787,278.703,151.384,451.094,259.023,272.803,170.949,349.259,145.47,503.971
112,NA,NA,323.775,458.942,282.644,270.781,310.059,353.224,313.952,523.562,233.618,529.462,241.517,351.266,274.88,286.483,223.787,278.709,151.388,451.076,259.024,272.803,170.944,349.252,145.472,502.058
113,NA,NA,323.766,458.962,282.65,268.935,310.047,353.22,311.992,523.573,231.713,531.432,241.514,351.267,274.883,286.488,223.79,278.709,151.381,451.073,259.027,272.807,170.948,349.254,145.455,503.97
114,NA,NA,323.767,458.948,282.633,270.778,310.045,353.227,310.06,521.627,231.688,531.416,241.513,351.265,274.88,286.484,223.803,278.72,151.383,451.069,259.025,272.812,170.948,349.246,145.462,503.974
115,NA,NA,323.781,458.949,282.639,270.78,310.043,353.227,NA,NA,231.695,529.445,241.506,351.266,274.881,286.492,223.796,278.724,151.369,451.073,259.026,272.819,170.936,349.245,147.37,504.009
116,NA,NA,323.794,458.95,282.63,270.781,310.051,353.223,311.994,523.571,231.713,531.416,241.51,351.267,274.879,286.489,223.799,278.726,151.369,451.09,259.024,272.82,170.932,349.25,147.361,503.98
