Session,Inst Name,Tala,Label,Matra,Half beat,Half,Misc 1,Misc 2,Cadence,Tabla solo,Inst,Tabla,Inst Density,Tabla Density,Inst Peak,Tabla Peak,Inst Player,Tabla Player ,Chunk
AnuBh_Vil,Sitar,Vilambit teental,42|12,12,On,2,,,,N,1936.132728,1936.142421,7.5,4.5,0.077819,0.071287,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|12&,12,&,2,,,,N,1936.667619,1936.679052,7,3.5,0.110778,0.02793,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|13,13,On,2,,,,N,1937.199829,1937.180939,6.5,2,0.224341,0.196879,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|13&,13,&,2,,,,N,1937.736742,1937.705895,7.5,2.5,0.18623,0.095389,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|14,14,On,2,,,,N,1938.263167,1938.215885,7.5,3.5,0.192449,0.120966,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|14&,14,&,2,,,,N,1938.810993,1938.809222,9,4.5,0.236745,0.006047,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|15,15,On,2,,,,N,1939.333002,1939.294451,8.5,5.5,0.222939,0.051253,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|15&,15,&,2,,,,N,1939.850887,1939.827998,8.5,6.5,0.055975,0.008091,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|16,16,On,2,,,,N,,1940.338508,,7,,0.236512,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,42|16&,16,&,2,,,,N,1940.907223,1940.866722,7.5,7,0.247456,0.080802,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|1,1,On,2,,,,N,1941.4246,1941.412802,7.5,6.5,0.127141,0.322973,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|1&,1,&,2,,,,N,1941.942652,,7.5,,0.293666,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|2,2,On,2,,,,N,1942.49114,1942.439954,8,6,0.256093,0.055052,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|2&,2,&,2,,,,N,1943.059642,1942.980415,7.5,6,0.080905,0.007226,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|3,3,On,2,,,,N,1943.542463,1943.523798,8,6.5,0.228671,0.063108,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|3&,3,&,2,,,,N,,1944.039487,,7.5,,0.009992,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|4,4,On,2,,,,N,1944.58967,1944.539696,8,7,0.269749,0.204958,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|4&,4,&,2,,,,N,1945.105529,1945.1009,8,7,0.409503,0.07393,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|5,5,On,2,,,,N,,1945.59699,,7,,0.160567,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|5&,5,&,2,,,,N,1946.140425,1946.12635,8.5,7,0.286511,0.089308,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|6,6,On,2,,,,N,1946.68431,1946.67177,8.5,7.5,0.268078,0.071632,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|6&,6,&,2,,,,N,1947.210911,1947.22195,8.5,7,0.341503,0.006765,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|7,7,On,2,,,,N,1947.727968,1947.724582,8.5,6,0.113799,0.076463,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|7&,7,&,2,,,,N,1948.263602,,8,,0.31333,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|8,8,On,2,,,,N,1948.791249,1948.761674,8,5,0.194369,0.253938,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|8&,8,&,2,,,,N,1949.346572,1949.2846,7.5,5.5,0.134316,0.062678,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|9,9,On,2,,,,N,1949.831193,1949.801128,8,6,0.107668,0.289525,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|9&,9,&,2,,,,N,1950.346943,1950.314488,8,6,0.481426,0.235101,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|10,10,On,2,,,,N,1950.858386,1950.863691,8,5,0.140265,0.084323,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|10&,10,&,2,,,,N,1951.327975,,8.5,,0.20715,,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|11,11,On,2,,,,N,1951.911417,1951.906999,8,3.5,0.196597,0.090057,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|11&,11,&,2,,,,N,1952.440261,1952.428652,8,3.5,0.595253,0.016997,Anupama Bhagwat,Gurdain Rayatt,2G
AnuBh_Vil,Sitar,Vilambit teental,43|12,12,On,2,,,,N,1952.98236,1952.948874,8,3.5,0.129704,0.258482,Anupama Bhagwat,Gurdain Rayatt,2G
