X,LEar_x,LEar_y,LElbow_x,LElbow_y,LEye_x,LEye_y,LShoulder_x,LShoulder_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,Neck_x,Neck_y,Nose_x,Nose_y,REar_x,REar_y,RElbow_x,RElbow_y,REye_x,REye_y,RShoulder_x,RShoulder_y,RWrist_x,RWrist_y
1203,886.017,292.423,980.148,429.617,870.436,304.104,917.324,339.462,997.727,382.545,870.292,507.898,854.617,347.215,856.659,317.855,823.315,290.455,694.024,409.919,846.838,302.226,790.07,349.161,741.032,429.636
1204,886.016,292.428,980.156,429.621,870.444,304.109,917.311,339.464,997.727,382.541,868.437,507.886,852.808,345.334,856.669,317.858,823.317,290.453,694.02,409.925,846.854,302.227,790.053,349.147,741.057,429.638
1205,886.019,292.468,980.149,429.618,870.446,304.119,917.304,339.485,997.724,382.551,870.306,509.86,852.805,347.215,856.684,317.848,823.322,290.444,694.025,409.923,848.757,302.231,790.045,349.159,741.041,429.634
1206,886.034,294.342,980.147,431.426,870.457,304.122,915.492,339.492,997.716,382.534,868.45,507.923,852.801,347.215,856.709,317.839,823.326,290.458,694.026,409.941,848.784,302.235,790.036,349.152,741.05,431.417
1207,886.046,292.471,980.131,429.627,872.278,304.124,915.49,339.492,997.712,382.577,868.385,505.946,852.798,345.338,858.568,317.854,823.328,290.451,694.017,409.952,848.792,304.044,790.037,349.146,741.051,431.417
1208,886.055,292.443,980.12,429.623,872.294,304.126,915.471,339.475,997.712,382.592,868.375,505.95,852.785,345.324,858.594,317.87,823.329,290.447,694.023,409.957,848.809,304.051,790.042,349.147,741.054,431.427
1209,886.067,292.463,980.122,429.61,872.308,304.13,915.466,339.479,997.7,382.581,868.406,505.954,852.778,345.329,858.598,317.881,823.332,290.439,694.022,409.951,848.807,304.052,790.033,349.148,741.036,431.44
1210,886.078,292.455,980.125,429.621,872.317,304.135,915.475,341.357,997.688,382.583,868.456,507.915,852.786,347.232,858.61,317.899,823.334,290.441,694.029,409.935,848.812,304.058,790.032,349.16,741.028,431.456
1211,886.078,292.443,980.107,431.428,872.316,304.134,915.49,339.505,997.689,382.589,870.321,507.89,852.798,347.243,858.611,317.905,823.334,290.429,694.029,409.938,848.806,304.062,790.041,349.183,741.011,431.46
1212,886.086,292.436,980.101,431.43,872.326,304.131,915.49,339.477,997.694,384.407,870.336,505.974,852.805,347.23,858.619,317.904,823.335,290.438,694.022,409.933,848.81,304.061,790.05,349.188,741.028,431.478
1213,886.094,292.414,980.094,429.627,872.334,304.124,915.492,339.464,997.699,382.599,870.325,505.976,852.793,347.229,858.635,317.904,823.327,290.443,694.033,409.925,848.813,304.061,790.043,349.19,741.025,431.48
